"disease_id","id","name"
"C84","C84.1","Sézary disease"
"C84","C84.4","Peripheral T-cell lymphoma, not elsewhere classified"
"C84","C84.5","Other mature T/NK-cell lymphomas"
"C84","C84.6","Anaplastic large cell lymphoma, ALK-positive"
"C84","C84.7","Anaplastic large cell lymphoma, ALK-negative"
"C84","C84.8","Cutaneous T-cell lymphoma, unspecified"
"C84","C84.9","Mature T/NK-cell lymphoma, unspecified"
"C85","C85.1","B-cell lymphoma, unspecified"
"C85","C85.2","Mediastinal (thymic) large B-cell lymphoma"
"C85","C85.7","Other specified types of non-Hodgkin lymphoma"
"C85","C85.9","Non-Hodgkin lymphoma, unspecified"
"C86","C86.0","Extranodal NK/T-cell lymphoma, nasal type"
"C86","C86.1","Hepatosplenic T-cell lymphoma"
"C86","C86.2","Enteropathy-type (intestinal) T-cell lymphoma"
"C86","C86.3","Subcutaneous panniculitis-like T-cell lymphoma"
"C86","C86.4","Blastic NK-cell lymphoma"
"C86","C86.5","Angioimmunoblastic T-cell lymphoma"
"C86","C86.6","Primary cutaneous CD30-positive T-cell proliferations"
"C88","C88.0","Waldenström macroglobulinaemia"
"C88","C88.2","Other heavy chain disease"
"C88","C88.3","Immunoproliferative small intestinal disease"
"C88","C88.4","Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lyphoma]"
"C88","C88.7","Other malignant immunoproliferative diseases"
"C88","C88.9","Malignant immunoproliferative disease, unspecified"
"C90","C90.0","Multiple myeloma"
"C90","C90.1","Plasma cell leukaemia"
"C90","C90.2","Extramedullary plasmacytoma"
"C90","C90.3","Solitary plasmacytoma"
"C91","C91.0","Acute lymphoblastic leukaemia [ALL]"
"C91","C91.1","Chronic lymphocytic leukaemia of B-cell type"
"C91","C91.3","Prolymphocytic leukaemia of B-cell type"
"C91","C91.4","Hairy-cell leukaemia"
"C91","C91.5","Adult T-cell lymphoma/leukaemia [HTLV-1-associated]"
"C91","C91.6","Prolymphocytic leukaemia of T-cell type"
"C91","C91.7","Other lymphoid leukaemia"
"C91","C91.8","Mature B-cell leukaemia Burkitt-type"
"C91","C91.9","Lymphoid leukaemia, unspecified"
"C92","C92.0","Acute myeloblastic leukaemia [AML]"
"C92","C92.1","Chronic myeloid leukaemia [CML], BCR/ABL-positive"
"C92","C92.2","Atypical chronic myeloid leukaemia, BCR/ABL- negative"
"C92","C92.3","Myeloid sarcoma"
"C92","C92.4","Acute promyelocytic leukaemia [PML]"
"C92","C92.5","Acute myelomonocytic leukaemia"
"C92","C92.6","Acute myeloid leukaemia with 11q23-abnormality"
"C92","C92.7","Other myeloid leukaemia"
"C92","C92.8","Acute myeloid leukaemia with multilineage dysplasia"
"C92","C92.9","Myeloid leukaemia, unspecified"
"C93","C93.0","Acute monoblastic/monocytic leukaemia"
"C93","C93.1","Chronic myelomonocytic leukaemia"
"C93","C93.3","Juvenile myelomonocytic leukaemia"
"C93","C93.7","Other monocytic leukaemia"
"C93","C93.9","Monocytic leukaemia, unspecified"
"C94","C94.0","Acute erythroid leukaemia"
"C94","C94.2","Acute megakaryoblastic leukaemia"
"C94","C94.3","Mast cell leukaemia"
"C94","C94.4","Acute panmyelosis with myelofibrosis"
"C94","C94.6","Myelodysplastic and myeloproliferative disease, not elsewhere classified"
"C94","C94.7","Other specified leukaemias"
"C95","C95.0","Acute leukaemia of unspecified cell type"
"C95","C95.1","Chronic leukaemia of unspecified cell type"
"C95","C95.7","Other leukaemia of unspecified cell type"
"C95","C95.9","Leukaemia, unspecified"
"C96","C96.0","Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease]"
"C96","C96.2","Malignant mast cell tumour"
"C96","C96.4","Sarcoma of dendritic cells (accessory cells)"
"C96","C96.5","Multifocal and unisystemic Langerhans-cell histiocytosis"
"C96","C96.6","Unifocal Langerhans-cell histiocytosis"
"C96","C96.7","Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue"
"C96","C96.8","Histiocytic sarcoma"
"C96","C96.9","Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified"
"D00","D00.0","Carcinoma in situ: Lip, oral cavity and pharynx"
"D00","D00.1","Carcinoma in situ: Oesophagus"
"D00","D00.2","Carcinoma in situ: Stomach"
"D01","D01.0","Carcinoma in situ: Colon"
"D01","D01.1","Carcinoma in situ: Rectosigmoid junction"
"D01","D01.2","Carcinoma in situ: Rectum"
"D01","D01.3","Carcinoma in situ: Anus and anal canal"
"D01","D01.4","Carcinoma in situ: Other and unspecified parts of intestine"
"D01","D01.5","Carcinoma in situ: Liver, gallbladder and bile ducts"
"D01","D01.7","Carcinoma in situ: Other specified digestive organs"
"D01","D01.9","Carcinoma in situ: Digestive organ, unspecified"
"D02","D02.0","Carcinoma in situ: Larynx"
"D02","D02.1","Carcinoma in situ: Trachea"
"D02","D02.2","Carcinoma in situ: Bronchus and lung"
"D02","D02.3","Carcinoma in situ: Other parts of respiratory system"
"D02","D02.4","Carcinoma in situ: Respiratory system, unspecified"
"D03","D03.0","Melanoma in situ of lip"
"D03","D03.1","Melanoma in situ of eyelid, including canthus"
"D03","D03.2","Melanoma in situ of ear and external auricular canal"
"D03","D03.3","Melanoma in situ of other and unspecified parts of face"
"D03","D03.4","Melanoma in situ of scalp and neck"
"D03","D03.5","Melanoma in situ of trunk"
"D03","D03.6","Melanoma in situ of upper limb, including shoulder"
"D03","D03.7","Melanoma in situ of lower limb, including hip"
"D03","D03.8","Melanoma in situ of other sites"
"D03","D03.9","Melanoma in situ, unspecified"
"D04","D04.0","Carcinoma in situ: Skin of lip"
"D04","D04.1","Carcinoma in situ: Skin of eyelid, including canthus"
"D04","D04.2","Carcinoma in situ: Skin of ear and external auricular canal"
"D04","D04.3","Carcinoma in situ: Skin of other and unspecified parts of face"
"D04","D04.4","Carcinoma in situ: Skin of scalp and neck"
"D04","D04.5","Carcinoma in situ: Skin of trunk"
"D04","D04.6","Carcinoma in situ: Skin of upper limb, including shoulder"
"D04","D04.7","Carcinoma in situ: Skin of lower limb, including hip"
"D04","D04.8","Carcinoma in situ: Skin of other sites"
"D04","D04.9","Carcinoma in situ: Skin, unspecified"
"D05","D05.0","Lobular carcinoma in situ"
"D05","D05.1","Intraductal carcinoma in situ"
"D05","D05.7","Other carcinoma in situ of breast"
"D05","D05.9","Carcinoma in situ of breast, unspecified"
"D06","D06.0","Carcinoma in situ: Endocervix"
"D06","D06.1","Carcinoma in situ: Exocervix"
"D06","D06.7","Carcinoma in situ: Other parts of cervix"
"D06","D06.9","Carcinoma in situ: Cervix, unspecified"
"D07","D07.0","Carcinoma in situ: Endometrium"
"D07","D07.1","Carcinoma in situ: Vulva"
"D07","D07.2","Carcinoma in situ: Vagina"
"D07","D07.3","Carcinoma in situ: Other and unspecified female genital organs"
"D07","D07.4","Carcinoma in situ: Penis"
"D07","D07.5","Carcinoma in situ: Prostate"
"D07","D07.6","Carcinoma in situ: Other and unspecified male genital organs"
"D09","D09.0","Carcinoma in situ: Bladder"
"D09","D09.1","Carcinoma in situ: Other and unspecified urinary organs"
"D09","D09.2","Carcinoma in situ: Eye"
"D09","D09.3","Carcinoma in situ: Thyroid and other endocrine glands"
"D09","D09.7","Carcinoma in situ of other specified sites"
"D09","D09.9","Carcinoma in situ, unspecified"
"D10","D10.0","Benign neoplasm: Lip"
"D10","D10.1","Benign neoplasm: Tongue"
"D10","D10.2","Benign neoplasm: Floor of mouth"
"D10","D10.3","Benign neoplasm: Other and unspecified parts of mouth"
"D10","D10.4","Benign neoplasm: Tonsil"
"D10","D10.5","Benign neoplasm: Other parts of oropharynx"
"D10","D10.6","Benign neoplasm: Nasopharynx"
"D10","D10.7","Benign neoplasm: Hypopharynx"
"D10","D10.9","Benign neoplasm: Pharynx, unspecified"
"D11","D11.0","Benign neoplasm: Parotid gland"
"D11","D11.7","Benign neoplasm: Other major salivary glands"
"D11","D11.9","Benign neoplasm: Major salivary gland, unspecified"
"D12","D12.0","Benign neoplasm: Caecum"
"D12","D12.1","Benign neoplasm: Appendix"
"D12","D12.2","Benign neoplasm: Ascending colon"
"D12","D12.3","Benign neoplasm: Transverse colon"
"D12","D12.4","Benign neoplasm: Descending colon"
"D12","D12.5","Benign neoplasm: Sigmoid colon"
"D12","D12.6","Benign neoplasm: Colon, unspecified"
"D12","D12.7","Benign neoplasm: Rectosigmoid junction"
"D12","D12.8","Benign neoplasm: Rectum"
"D12","D12.9","Benign neoplasm: Anus and anal canal"
"D13","D13.0","Benign neoplasm: Oesophagus"
"D13","D13.1","Benign neoplasm: Stomach"
"D13","D13.2","Benign neoplasm: Duodenum"
"D13","D13.3","Benign neoplasm: Other and unspecified parts of small intestine"
"D13","D13.4","Benign neoplasm: Liver"
"D13","D13.5","Benign neoplasm: Extrahepatic bile ducts"
"D13","D13.6","Benign neoplasm: Pancreas"
"D13","D13.7","Benign neoplasm: Endocrine pancreas"
"D13","D13.9","Benign neoplasm: Ill-defined sites within the digestive system"
"D14","D14.0","Benign neoplasm: Middle ear, nasal cavity and accessory sinuses"
"D14","D14.1","Benign neoplasm: Larynx"
"D14","D14.2","Benign neoplasm: Trachea"
"D14","D14.3","Benign neoplasm: Bronchus and lung"
"D14","D14.4","Benign neoplasm: Respiratory system, unspecified"
"D15","D15.0","Benign neoplasm: Thymus"
"D15","D15.1","Benign neoplasm: Heart"
"D15","D15.2","Benign neoplasm: Mediastinum"
"D15","D15.7","Benign neoplasm: Other specified intrathoracic organs"
"D15","D15.9","Benign neoplasm: Intrathoracic organ, unspecified"
"D16","D16.0","Benign neoplasm: Scapula and long bones of upper limb"
"D16","D16.1","Benign neoplasm: Short bones of upper limb"
"D16","D16.2","Benign neoplasm: Long bones of lower limb"
"D16","D16.3","Benign neoplasm: Short bones of lower limb"
"D16","D16.4","Benign neoplasm: Bones of skull and face"
"D16","D16.5","Benign neoplasm: Lower jaw bone"
"D16","D16.6","Benign neoplasm: Vertebral column"
"D16","D16.7","Benign neoplasm: Ribs, sternum and clavicle"
"D16","D16.8","Benign neoplasm: Pelvic bones, sacrum and coccyx"
"D16","D16.9","Benign neoplasm: Bone and articular cartilage, unspecified"
"D17","D17.0","Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck"
"D17","D17.1","Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk"
"D17","D17.2","Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs"
"D17","D17.3","Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites"
"D17","D17.4","Benign lipomatous neoplasm of intrathoracic organs"
"D17","D17.5","Benign lipomatous neoplasm of intra-abdominal organs"
"D17","D17.6","Benign lipomatous neoplasm of spermatic cord"
"D17","D17.7","Benign lipomatous neoplasm of other sites"
"D17","D17.9","Benign lipomatous neoplasm, unspecified"
"D18","D18.0","Haemangioma, any site"
"D18","D18.1","Lymphangioma, any site"
"D19","D19.0","Benign neoplasm: Mesothelial tissue of pleura"
"D19","D19.1","Benign neoplasm: Mesothelial tissue of peritoneum"
"D19","D19.7","Benign neoplasm: Mesothelial tissue of other sites"
"D19","D19.9","Benign neoplasm: Mesothelial tissue, unspecified"
"D20","D20.0","Benign neoplasm: Retroperitoneum"
"D20","D20.1","Benign neoplasm: Peritoneum"
"D21","D21.0","Benign neoplasm: Connective and other soft tissue of head, face and neck"
"D21","D21.1","Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder"
"D21","D21.2","Benign neoplasm: Connective and other soft tissue of lower limb, including hip"
"D21","D21.3","Benign neoplasm: Connective and other soft tissue of thorax"
"D21","D21.4","Benign neoplasm: Connective and other soft tissue of abdomen"
"D21","D21.5","Benign neoplasm: Connective and other soft tissue of pelvis"
"D21","D21.6","Benign neoplasm: Connective and other soft tissue of trunk, unspecified"
"D21","D21.9","Benign neoplasm: Connective and other soft tissue, unspecified"
"D22","D22.0","Melanocytic naevi of lip"
"D22","D22.1","Melanocytic naevi of eyelid, including canthus"
"D22","D22.2","Melanocytic naevi of ear and external auricular canal"
"D22","D22.3","Melanocytic naevi of other and unspecified parts of face"
"D22","D22.4","Melanocytic naevi of scalp and neck"
"D22","D22.5","Melanocytic naevi of trunk"
"D22","D22.6","Melanocytic naevi of upper limb, including shoulder"
"D22","D22.7","Melanocytic naevi of lower limb, including hip"
"D22","D22.9","Melanocytic naevi, unspecified"
"D23","D23.0","Benign neoplasm: Skin of lip"
"D23","D23.1","Benign neoplasm: Skin of eyelid, including canthus"
"D23","D23.2","Benign neoplasm: Skin of ear and external auricular canal"
"D23","D23.3","Benign neoplasm: Skin of other and unspecified parts of face"
"D23","D23.4","Benign neoplasm: Skin of scalp and neck"
"D23","D23.5","Benign neoplasm: Skin of trunk"
"D23","D23.6","Benign neoplasm: Skin of upper limb, including shoulder"
"D23","D23.7","Benign neoplasm: Skin of lower limb, including hip"
"D23","D23.9","Benign neoplasm: Skin, unspecified"
"D25","D25.0","Submucous leiomyoma of uterus"
"D25","D25.1","Intramural leiomyoma of uterus"
"D25","D25.2","Subserosal leiomyoma of uterus"
"D25","D25.9","Leiomyoma of uterus, unspecified"
"D26","D26.0","Other benign neoplasm: Cervix uteri"
"D26","D26.1","Other benign neoplasm: Corpus uteri"
"D26","D26.7","Other benign neoplasm: Other parts of uterus"
"D26","D26.9","Other benign neoplasm: Uterus, unspecified"
"D28","D28.0","Benign neoplasm: Vulva"
"D28","D28.1","Benign neoplasm: Vagina"
"D28","D28.2","Benign neoplasm: Uterine tubes and ligaments"
"D28","D28.7","Benign neoplasm: Other specified female genital organs"
"D28","D28.9","Benign neoplasm: Female genital organ, unspecified"
"D29","D29.0","Benign neoplasm: Penis"
"D29","D29.1","Benign neoplasm: Prostate"
"D29","D29.2","Benign neoplasm: Testis"
"D29","D29.3","Benign neoplasm: Epididymis"
"D29","D29.4","Benign neoplasm: Scrotum"
"D29","D29.7","Benign neoplasm: Other male genital organs"
"D29","D29.9","Benign neoplasm: Male genital organ, unspecified"
"D30","D30.0","Benign neoplasm: Kidney"
"D30","D30.1","Benign neoplasm: Renal pelvis"
"D30","D30.2","Benign neoplasm: Ureter"
"D30","D30.3","Benign neoplasm: Bladder"
"D30","D30.4","Benign neoplasm: Urethra"
"D30","D30.7","Benign neoplasm: Other urinary organs"
"D30","D30.9","Benign neoplasm: Urinary organ, unspecified"
"D31","D31.0","Benign neoplasm: Conjunctiva"
"D31","D31.1","Benign neoplasm: Cornea"
"D31","D31.2","Benign neoplasm: Retina"
"D31","D31.3","Benign neoplasm: Choroid"
"D31","D31.4","Benign neoplasm: Ciliary body"
"D31","D31.5","Benign neoplasm: Lacrimal gland and duct"
"D31","D31.6","Benign neoplasm: Orbit, unspecified"
"D31","D31.9","Benign neoplasm: Eye, unspecified"
"D32","D32.0","Benign neoplasm: Cerebral meninges"
"D32","D32.1","Benign neoplasm: Spinal meninges"
"D32","D32.9","Benign neoplasm: Meninges, unspecified"
"D33","D33.0","Benign neoplasm: Brain, supratentorial"
"D33","D33.1","Benign neoplasm: Brain, infratentorial"
"D33","D33.2","Benign neoplasm: Brain, unspecified"
"D33","D33.3","Benign neoplasm: Cranial nerves"
"D33","D33.4","Benign neoplasm: Spinal cord"
"D33","D33.7","Benign neoplasm: Other specified parts of central nervous system"
"D33","D33.9","Benign neoplasm: Central nervous system, unspecified"
"D35","D35.0","Benign neoplasm: Adrenal gland"
"D35","D35.1","Benign neoplasm: Parathyroid gland"
"D35","D35.2","Benign neoplasm: Pituitary gland"
"D35","D35.3","Benign neoplasm: Craniopharyngeal duct"
"D35","D35.4","Benign neoplasm: Pineal gland"
"D35","D35.5","Benign neoplasm: Carotid body"
"D35","D35.6","Benign neoplasm: Aortic body and other paraganglia"
"D35","D35.7","Benign neoplasm: Other specified endocrine glands"
"D35","D35.8","Benign neoplasm: Pluriglandular involvement"
"D35","D35.9","Benign neoplasm: Endocrine gland, unspecified"
"D36","D36.0","Benign neoplasm: Lymph nodes"
"D36","D36.1","Benign neoplasm: Peripheral nerves and autonomic nervous system"
"D36","D36.7","Benign neoplasm: Other specified sites"
"D36","D36.9","Benign neoplasm: Benign neoplasm of unspecified site"
"D37","D37.0","Neoplasm of uncertain or unknown behaviour: Lip, oral cavity and pharynx"
"D37","D37.1","Neoplasm of uncertain or unknown behaviour: Stomach"
"D37","D37.2","Neoplasm of uncertain or unknown behaviour: Small intestine"
"D37","D37.3","Neoplasm of uncertain or unknown behaviour: Appendix"
"D37","D37.4","Neoplasm of uncertain or unknown behaviour: Colon"
"D37","D37.5","Neoplasm of uncertain or unknown behaviour: Rectum"
"D37","D37.6","Neoplasm of uncertain or unknown behaviour: Liver, gallbladder and bile ducts"
"D37","D37.7","Neoplasm of uncertain or unknown behaviour: Other digestive organs"
"D37","D37.9","Neoplasm of uncertain or unknown behaviour: Digestive organ, unspecified"
"D38","D38.0","Neoplasm of uncertain or unknown behaviour: Larynx"
"D38","D38.1","Neoplasm of uncertain or unknown behaviour: Trachea, bronchus and lung"
"D38","D38.2","Neoplasm of uncertain or unknown behaviour: Pleura"
"D38","D38.3","Neoplasm of uncertain or unknown behaviour: Mediastinum"
"D38","D38.4","Neoplasm of uncertain or unknown behaviour: Thymus"
"D38","D38.5","Neoplasm of uncertain or unknown behaviour: Other respiratory organs"
"D38","D38.6","Neoplasm of uncertain or unknown behaviour: Respiratory organ, unspecified"
"D39","D39.0","Neoplasm of uncertain or unknown behaviour: Uterus"
"D39","D39.1","Neoplasm of uncertain or unknown behaviour: Ovary"
"D39","D39.2","Neoplasm of uncertain or unknown behaviour: Placenta"
"D39","D39.7","Neoplasm of uncertain or unknown behaviour: Other female genital organs"
"D39","D39.9","Neoplasm of uncertain or unknown behaviour: Female genital organ, unspecified"
"D40","D40.0","Neoplasm of uncertain or unknown behaviour: Prostate"
"D40","D40.1","Neoplasm of uncertain or unknown behaviour: Testis"
"D40","D40.7","Neoplasm of uncertain or unknown behaviour: Other male genital organs"
"D40","D40.9","Neoplasm of uncertain or unknown behaviour: Male genital organ, unspecified"
"D41","D41.0","Neoplasm of uncertain or unknown behaviour: Kidney"
"D41","D41.1","Neoplasm of uncertain or unknown behaviour: Renal pelvis"
"D41","D41.2","Neoplasm of uncertain or unknown behaviour: Ureter"
"D41","D41.3","Neoplasm of uncertain or unknown behaviour: Urethra"
"D41","D41.4","Neoplasm of uncertain or unknown behaviour: Bladder"
"D41","D41.7","Neoplasm of uncertain or unknown behaviour: Other urinary organs"
"D41","D41.9","Neoplasm of uncertain or unknown behaviour: Urinary organ, unspecified"
"D42","D42.0","Neoplasm of uncertain or unknown behaviour: Cerebral meninges"
"D42","D42.1","Neoplasm of uncertain or unknown behaviour: Spinal meninges"
"D42","D42.9","Neoplasm of uncertain or unknown behaviour: Meninges, unspecified"
"D43","D43.0","Neoplasm of uncertain or unknown behaviour: Brain, supratentorial"
"D43","D43.1","Neoplasm of uncertain or unknown behaviour: Brain, infratentorial"
"D43","D43.2","Neoplasm of uncertain or unknown behaviour: Brain, unspecified"
"D43","D43.3","Neoplasm of uncertain or unknown behaviour: Cranial nerves"
"D43","D43.4","Neoplasm of uncertain or unknown behaviour: Spinal cord"
"D43","D43.7","Neoplasm of uncertain or unknown behaviour: Other parts of central nervous system"
"D43","D43.9","Neoplasm of uncertain or unknown behaviour: Central nervous system, unspecified"
"D44","D44.0","Neoplasm of uncertain or unknown behaviour: Thyroid gland"
"D44","D44.1","Neoplasm of uncertain or unknown behaviour: Adrenal gland"
"D44","D44.2","Neoplasm of uncertain or unknown behaviour: Parathyroid gland"
"D44","D44.3","Neoplasm of uncertain or unknown behaviour: Pituitary gland"
"D44","D44.4","Neoplasm of uncertain or unknown behaviour: Craniopharyngeal duct"
"D44","D44.5","Neoplasm of uncertain or unknown behaviour: Pineal gland"
"D44","D44.6","Neoplasm of uncertain or unknown behaviour: Carotid body"
"D44","D44.7","Neoplasm of uncertain or unknown behaviour: Aortic body and other paraganglia"
"D44","D44.8","Neoplasm of uncertain or unknown behaviour: Pluriglandular involvement"
"D44","D44.9","Neoplasm of uncertain or unknown behaviour: Endocrine gland, unspecified"
"D46","D46.0","Refractory anaemia without ring sideroblasts, so stated"
"D46","D46.1","Refractory anaemia with ring sideroblasts"
"D46","D46.2","Refractory anaemia with excess of blasts [RAEB]"
"D46","D46.4","Refractory anaemia, unspecified"
"D46","D46.5","Refractory anaemia with multi-lineage dysplasia"
"D46","D46.6","Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality"
"D46","D46.7","Other myelodysplastic syndromes"
"D46","D46.9","Myelodysplastic syndrome, unspecified"
"D47","D47.0","Histiocytic and mast cell tumours of uncertain and unknown behaviour"
"D47","D47.1","Chronic myeloproliferative disease"
"D47","D47.2","Monoclonal gammopathy of undetermined significance (MGUS)"
"D47","D47.3","Essential (haemorrhagic) thrombocythaemia"
"D47","D47.4","Osteomyelofibrosis"
"D47","D47.5","Chronic eosinophilic leukaemia [hypereosinophilic syndrome]"
"D47","D47.7","Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
"D47","D47.9","Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified"
"D48","D48.0","Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage"
"D48","D48.1","Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue"
"D48","D48.2","Neoplasm of uncertain or unknown behaviour: Peripheral nerves and autonomic nervous system"
"D48","D48.3","Neoplasm of uncertain or unknown behaviour: Retroperitoneum"
"D48","D48.4","Neoplasm of uncertain or unknown behaviour: Peritoneum"
"D48","D48.5","Neoplasm of uncertain or unknown behaviour: Skin"
"D48","D48.6","Neoplasm of uncertain or unknown behaviour: Breast"
"D48","D48.7","Neoplasm of uncertain or unknown behaviour: Other specified sites"
"D48","D48.9","Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour, unspecified"
"D50","D50.0","Iron deficiency anaemia secondary to blood loss (chronic)"
"D50","D50.1","Sideropenic dysphagia"
"D50","D50.8","Other iron deficiency anaemias"
"D50","D50.9","Iron deficiency anaemia, unspecified"
"D51","D51.0","Vitamin B 12 deficiency anaemia due to intrinsic factor deficiency"
"D51","D51.1","Vitamin B 12 deficiency anaemia due to selective vitamin B 12 malabsorption with proteinuria"
"D51","D51.2","Transcobalamin II deficiency"
"D51","D51.3","Other dietary vitamin B 12 deficiency anaemia"
"D51","D51.8","Other vitamin B 12 deficiency anaemias"
"D51","D51.9","Vitamin B 12 deficiency anaemia, unspecified"
"D52","D52.0","Dietary folate deficiency anaemia"
"D52","D52.1","Drug-induced folate deficiency anaemia"
"D52","D52.8","Other folate deficiency anaemias"
"D52","D52.9","Folate deficiency anaemia, unspecified"
"D53","D53.0","Protein deficiency anaemia"
"D53","D53.1","Other megaloblastic anaemias, not elsewhere classified"
"D53","D53.2","Scorbutic anaemia"
"D53","D53.8","Other specified nutritional anaemias"
"D53","D53.9","Nutritional anaemia, unspecified"
"D55","D55.0","Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency"
"D55","D55.1","Anaemia due to other disorders of glutathione metabolism"
"D55","D55.2","Anaemia due to disorders of glycolytic enzymes"
"D55","D55.3","Anaemia due to disorders of nucleotide metabolism"
"D55","D55.8","Other anaemias due to enzyme disorders"
"D55","D55.9","Anaemia due to enzyme disorder, unspecified"
"D56","D56.0","Alpha thalassaemia"
"D56","D56.1","Beta thalassaemia"
"D56","D56.2","Delta-beta thalassaemia"
"D56","D56.3","Thalassaemia trait"
"D56","D56.4","Hereditary persistence of fetal haemoglobin [HPFH]"
"D56","D56.8","Other thalassaemias"
"D56","D56.9","Thalassaemia, unspecified"
"D57","D57.0","Sickle-cell anaemia with crisis"
"D57","D57.1","Sickle-cell anaemia without crisis"
"D57","D57.2","Double heterozygous sickling disorders"
"D57","D57.3","Sickle-cell trait"
"D57","D57.8","Other sickle-cell disorders"
"D58","D58.0","Hereditary spherocytosis"
"D58","D58.1","Hereditary elliptocytosis"
"D58","D58.2","Other haemoglobinopathies"
"D58","D58.8","Other specified hereditary haemolytic anaemias"
"D58","D58.9","Hereditary haemolytic anaemia, unspecified"
"D59","D59.0","Drug-induced autoimmune haemolytic anaemia"
"D59","D59.1","Other autoimmune haemolytic anaemias"
"D59","D59.2","Drug-induced nonautoimmune haemolytic anaemia"
"D59","D59.3","Haemolytic-uraemic syndrome"
"D59","D59.4","Other nonautoimmune haemolytic anaemias"
"D59","D59.5","Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli]"
"D59","D59.6","Haemoglobinuria due to haemolysis from other external causes"
"D59","D59.8","Other acquired haemolytic anaemias"
"D59","D59.9","Acquired haemolytic anaemia, unspecified"
"D60","D60.0","Chronic acquired pure red cell aplasia"
"D60","D60.1","Transient acquired pure red cell aplasia"
"D60","D60.8","Other acquired pure red cell aplasias"
"D60","D60.9","Acquired pure red cell aplasia, unspecified"
"D61","D61.0","Constitutional aplastic anaemia"
"D61","D61.1","Drug-induced aplastic anaemia"
"D61","D61.2","Aplastic anaemia due to other external agents"
"D61","D61.3","Idiopathic aplastic anaemia"
"D61","D61.8","Other specified aplastic anaemias"
"D61","D61.9","Aplastic anaemia, unspecified"
"D63","D63.0","Anaemia in neoplastic disease"
"D63","D63.8","Anaemia in other chronic diseases classified elsewhere"
"D64","D64.0","Hereditary sideroblastic anaemia"
"D64","D64.1","Secondary sideroblastic anaemia due to disease"
"D64","D64.2","Secondary sideroblastic anaemia due to drugs and toxins"
"D64","D64.3","Other sideroblastic anaemias"
"D64","D64.4","Congenital dyserythropoietic anaemia"
"D64","D64.8","Other specified anaemias"
"D64","D64.9","Anaemia, unspecified"
"D68","D68.0","Von Willebrand disease"
"D68","D68.1","Hereditary factor XI deficiency"
"D68","D68.2","Hereditary deficiency of other clotting factors"
"D68","D68.3","Haemorrhagic disorder due to circulating anticoagulants"
"D68","D68.4","Acquired coagulation factor deficiency"
"D68","D68.5","Primary thrombophilia"
"D68","D68.6","Other thrombophilia"
"D68","D68.8","Other specified coagulation defects"
"D68","D68.9","Coagulation defect, unspecified"
"D69","D69.0","Allergic purpura"
"D69","D69.1","Qualitative platelet defects"
"D69","D69.2","Other nonthrombocytopenic purpura"
"D69","D69.3","Idiopathic thrombocytopenic purpura"
"D69","D69.4","Other primary thrombocytopenia"
"D69","D69.5","Secondary thrombocytopenia"
"D69","D69.6","Thrombocytopenia, unspecified"
"D69","D69.8","Other specified haemorrhagic conditions"
"D69","D69.9","Haemorrhagic condition, unspecified"
"D72","D72.0","Genetic anomalies of leukocytes"
"D72","D72.1","Eosinophilia"
"D72","D72.8","Other specified disorders of white blood cells"
"D72","D72.9","Disorder of white blood cells, unspecified"
"D73","D73.0","Hyposplenism"
"D73","D73.1","Hypersplenism"
"D73","D73.2","Chronic congestive splenomegaly"
"D73","D73.3","Abscess of spleen"
"D73","D73.4","Cyst of spleen"
"D73","D73.5","Infarction of spleen"
"D73","D73.8","Other diseases of spleen"
"D73","D73.9","Disease of spleen, unspecified"
"D74","D74.0","Congenital methaemoglobinaemia"
"D74","D74.8","Other methaemoglobinaemias"
"D74","D74.9","Methaemoglobinaemia, unspecified"
"D75","D75.0","Familial erythrocytosis"
"D75","D75.1","Secondary polycythaemia"
"D75","D75.8","Other specified diseases of blood and blood-forming organs"
"D75","D75.9","Disease of blood and blood-forming organs, unspecified"
"D76","D76.1","Haemophagocytic lymphohistiocytosis"
"D76","D76.2","Haemophagocytic syndrome, infection-associated"
"D76","D76.3","Other histiocytosis syndromes"
"D80","D80.0","Hereditary hypogammaglobulinaemia"
"D80","D80.1","Nonfamilial hypogammaglobulinaemia"
"D80","D80.2","Selective deficiency of immunoglobulin A [IgA]"
"D80","D80.3","Selective deficiency of immunoglobulin G [IgG] subclasses"
